scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2754.7,31.241176532120413,2743.5,8.5,0.004772583160196828
cross,ex_intvl_send_p99_stat,4762.4,337.51450997615564,4619.5,79.5,0.026510120424288342
cross,ex_intvl_send_max_stat,28202659.6,3377271.663573463,26762013.0,236595.5,0.013618436376355543
cross,ex_intvl_send_mean_stat,2886.06431495,61.248409076756424,2864.3752670000003,14.65143025000043,0.007879336537263856
cross,gw_intvl_decode_p50_stat,73.0,7.180219742846005,70.0,0.5,0.011003009999999999
cross,gw_intvl_decode_p99_stat,114.6,5.4609726443393045,112.5,1.5,0.020538952
cross,gw_intvl_decode_max_stat,55218.5,65932.10258920409,39932.0,19747.5,0.7617818190048081
cross,gw_intvl_decode_mean_stat,75.82432635,6.716552199467866,73.8087045,2.340705750000005,0.04885159891138662
cross,gw_intvl_send_p50_stat,2549.2,38.553858432068765,2541.5,24.5,0.01484962592956915
cross,gw_intvl_send_p99_stat,4766.901000000001,542.9658002418031,4538.0,109.5,0.03716970985015425
cross,gw_intvl_send_max_stat,28686006.0,2082302.4434767715,28126205.5,134366.0,0.007358982776130252
cross,gw_intvl_send_mean_stat,2608.3997427499994,64.50404762658401,2580.824877,24.871432249999998,0.014845054706340751
cross,lob_intvl_decode_p50_stat,68.0,0.0,68.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,111.5,3.2058973436118907,110.0,1.5,0.021005746363636363
cross,lob_intvl_decode_max_stat,105308.0,55530.76474051718,127546.0,24706.5,0.29838976776300313
cross,lob_intvl_decode_mean_stat,70.94127010000001,1.8938717271613315,70.136,0.5884457499999982,0.012924238993370698
cross,lob_intvl_apply_p50_stat,198.6,5.316640543300503,198.0,5.0,0.0388995303030303
cross,lob_intvl_apply_p99_stat,2515.5,38.62713496436871,2517.0,31.0,0.018972214302741357
cross,lob_intvl_apply_max_stat,30580527.1,2035747.2462995253,30035033.0,123111.5,0.00631407960118106
cross,lob_intvl_apply_mean_stat,276.22096569999997,8.425693338591296,272.91988875000004,3.0962865000000193,0.017476139269205708
cross,ex2gw_trans_p50_stat,3370.2,43.89077351790465,3365.5,11.5,0.005263659515673748
cross,ex2gw_trans_p99_stat,185440.34000000014,218626.2673455043,129245.77500000026,110636.02500000002,1.3186202838811147
cross,ex2gw_trans_max_stat,28685835.7,2081865.0391062042,28124868.0,130591.5,0.0071526003698257345
cross,ex2gw_trans_mean_stat,20418.820600450003,6897.893964681443,19736.35880375,4474.2826542500015,0.3492174427304157
cross,gw2lob_trans_p50_stat,3518.0,38.157568056677825,3519.5,31.0,0.013568138485580337
cross,gw2lob_trans_p99_stat,224181.84500000044,235604.15607057684,166122.0450000005,84334.37500000035,0.7820182806299135
cross,gw2lob_trans_max_stat,30584447.9,2039761.3543561879,30039181.0,120169.0,0.006162315118265041
cross,gw2lob_trans_mean_stat,22708.732969,8714.629176429142,20656.4587165,3598.0957705,0.2683220681820149
cross,w2w_p50_stat,12797.3,115.1559811733633,12793.0,62.5,0.007525704486828733
cross,w2w_p99_stat,730760.3180000007,514915.9442097202,730611.6100000006,360259.06500000006,0.7595701542027106
cross,w2w_max_stat,31179939.3,2613915.0960583608,30098101.5,241340.0,0.012351785732266201
cross,w2w_mean_stat,49045.004189299994,15445.897917018794,46541.9472945,7868.207477,0.2604178785326222
add,ex_intvl_send_p50_stat,2750.7,29.07862903691759,2740.5,13.0,0.007307235249042145
add,ex_intvl_send_p99_stat,4640.2,100.73264945719767,4616.0,78.5,0.02619650777729636
add,ex_intvl_send_max_stat,26689172.5,246877.92696222695,26697211.0,177948.0,0.010267548444936813
add,ex_intvl_send_mean_stat,2866.7747859,32.86944418090086,2861.2108795000004,29.43655849999959,0.01584808200634107
add,gw_intvl_decode_p50_stat,70.0,1.1547005383792515,70.0,1.0,0.022006019999999998
add,gw_intvl_decode_p99_stat,106.6,9.968840342676664,109.5,2.5,0.03516943835616438
add,gw_intvl_decode_max_stat,41625.5,47960.30577756753,29097.5,15011.5,0.7947086810241428
add,gw_intvl_decode_mean_stat,72.06588980000001,1.0226802830580974,72.01824375,0.7003072500000016,0.014979097216254351
add,gw_intvl_send_p50_stat,2529.9,28.48176804749156,2529.5,22.5,0.013702107728800157
add,gw_intvl_send_p99_stat,4458.4,250.28969881585883,4416.5,97.0,0.03383241838559945
add,gw_intvl_send_max_stat,28081231.4,240573.56288170983,28098382.5,180368.0,0.009888210720855549
add,gw_intvl_send_mean_stat,2545.87360085,38.2847605781938,2541.0806430000002,30.059557749999612,0.01822232055491489
add,lob_intvl_decode_p50_stat,68.9,3.212821536005731,68.0,0.0,0.0
add,lob_intvl_decode_p99_stat,109.6,3.272783388968954,110.0,1.5,0.021005746363636363
add,lob_intvl_decode_max_stat,89139.0,66351.00055177935,93398.5,58766.0,0.9692275999336177
add,lob_intvl_decode_mean_stat,70.57831064999999,3.8166250431644655,69.4450095,0.4244860000000017,0.009415900769664413
add,lob_intvl_apply_p50_stat,229.1,2.1317702607092643,229.5,1.5,0.010068113725490196
add,lob_intvl_apply_p99_stat,2572.8,40.48813269204803,2577.0,35.0,0.020921516880093128
