scenario,mode,counter,mean,std,median,mad,cv
cross,null,ipc_stat,1.2643205065502054,0.05053577854920124,1.2713362836553763,0.04539436300266553,0.055002322444239575
cross,null,cycle_per_msg_stat,3012.6454646499997,91.51692793742752,2992.33380425,73.53937499999984,0.03785728277765378
cross,null,cache_miss_rate_stat,0.008798171527104133,0.007113276839975676,0.006537654100059785,0.004516520375674559,1.0641958925544113
cross,null,branch_miss_rate_stat,0.0026401292055715612,2.908952224165756e-05,0.002643624680395921,1.4715934792403854e-05,0.008574871101531887
cross,null,throughput_stat,280929.4,13531.799980457557,283733.0,11094.0,0.06023069227618923
cross,decode,ipc_stat,1.2756245423260588,0.046400351809213654,1.2705544945193106,0.041522080648712545,0.05034140753482696
cross,decode,cycle_per_msg_stat,3046.73769215,89.37365957619858,3051.0324739999996,79.43858424999962,0.04010737224437762
cross,decode,cache_miss_rate_stat,0.009656567860563115,0.006420405398943458,0.010280441119428382,0.005777027272309879,0.8656298241747602
cross,decode,branch_miss_rate_stat,0.0025434686339333634,3.942768619659749e-05,0.0025455918989042287,1.2713331984596631e-05,0.007693255412545573
cross,decode,throughput_stat,276172.1,13453.121500231833,276361.5,13888.5,0.07741361446474997
cross,match,ipc_stat,1.3648653001585578,0.05166248066843725,1.3556642599558786,0.044695810084370735,0.05078719294889524
cross,match,cycle_per_msg_stat,3474.77883455,118.61058651654693,3488.0539235,107.34480875000031,0.04740644617428538
cross,match,cache_miss_rate_stat,0.138834970987832,0.0019518098392430209,0.13959376185281183,0.0008605527267567803,0.009496225465449015
cross,match,branch_miss_rate_stat,0.0030752267871560586,4.4533525597882094e-05,0.003091605302805352,3.383011601169731e-05,0.016856173270764444
cross,match,throughput_stat,273670.2,16000.093227506171,270495.5,13238.5,0.07539078729184033
add,null,ipc_stat,1.3119865588203952,0.019456754128976,1.3118097042673693,0.011835341978468361,0.013897910650183089
add,null,cycle_per_msg_stat,2937.27661565,40.41147084258421,2925.3600877500003,34.023285750000014,0.017915810667918707
add,null,cache_miss_rate_stat,0.004492441221234737,0.0016070139059425207,0.004892406844392162,0.0012290142526184859,0.38696697062481006
add,null,branch_miss_rate_stat,0.0026508152634078493,5.860771631117223e-05,0.0026351837274052855,4.49051132327702e-05,0.026249705731635223
add,null,throughput_stat,288871.7,5001.818026144761,288107.5,3193.5,0.017074653526548248
add,decode,ipc_stat,1.2943243710292347,0.03624704482051262,1.307978728231086,0.010520944810629151,0.012390636166101922
add,decode,cycle_per_msg_stat,3013.3428233000004,73.8189577120298,2987.26150675,30.119433250000156,0.01553148910108279
add,decode,cache_miss_rate_stat,0.007405809895822152,0.006445157649435583,0.005009453470682008,0.0026998470440515203,0.8302107580644907
add,decode,branch_miss_rate_stat,0.002532957423360661,4.448306609696209e-05,0.002527766013717417,2.2417133183447397e-05,0.013661007978997561
add,decode,throughput_stat,283101.7,13809.504907450117,287762.0,6760.5,0.036189694520819285
add,match,ipc_stat,1.3073475580984493,0.04469519265874921,1.2956611918806582,0.03806449561270997,0.0452551670062102
add,match,cycle_per_msg_stat,3617.36107855,107.97099271967761,3651.5731815,84.01217900000006,0.03544065857638644
add,match,cache_miss_rate_stat,0.22402274710795247,0.0074797197125716815,0.2226404522551479,0.0037921913753422715,0.026237697095486377
add,match,branch_miss_rate_stat,0.004439523576343815,6.166232285140072e-05,0.004444284187257794,5.904328626403846e-05,0.020464834797967697
add,match,throughput_stat,275515.6,14445.272423107077,273362.0,14446.0,0.08140461199581507
cancel,null,ipc_stat,1.2685685392431896,0.04146766551583577,1.2715212155048805,0.03357826281904808,0.040679364206084256
cancel,null,cycle_per_msg_stat,3011.0184861999996,77.39033979301291,2996.36394625,70.81858024999997,0.03640761218984958
cancel,null,cache_miss_rate_stat,0.010078494464137902,0.007306835156781681,0.011853152748604486,0.005447034148277602,0.7078899721026088
cancel,null,branch_miss_rate_stat,0.0026364551999633777,2.99809604942948e-05,0.002636929008916939,2.489200437715412e-05,0.014541224318818848
cancel,null,throughput_stat,277279.4,14877.718479510075,276112.0,15757.0,0.08790787796184156
cancel,decode,ipc_stat,1.2673469109462552,0.05251342150461713,1.2726571836486502,0.048449649501337344,0.058643347064124766
cancel,decode,cycle_per_msg_stat,3058.22064605,104.83436746071408,3028.6110105,75.92463624999982,0.038617020826126815
cancel,decode,cache_miss_rate_stat,0.009752649568178333,0.008246321298612217,0.009121551827698816,0.007391196992349101,1.2482040593198644
cancel,decode,branch_miss_rate_stat,0.0026134176560510458,3.58822069964673e-05,0.0026079136758482713,2.9552787271740818e-05,0.017456001847235125
cancel,decode,throughput_stat,279491.8,17537.774448949396,281852.0,14722.5,0.08046369747775428
cancel,match,ipc_stat,1.340506805932166,0.05313292433787053,1.3306966657887311,0.06128546177448069,0.07094437015842073
cancel,match,cycle_per_msg_stat,3495.6652558,123.76333387546721,3501.0254665,120.83186200000023,0.05316499060280318
cancel,match,cache_miss_rate_stat,0.1469643902625138,0.003509346733721991,0.14742076536557713,0.0024138793753786247,0.02522298291988188
cancel,match,branch_miss_rate_stat,0.003710282191864389,5.14427446035452e-05,0.003713012781979696,4.299016146429801e-05,0.01783537213511863
cancel,match,throughput_stat,275269.0,15872.051432208335,271991.5,17464.5,0.0989100377780188
