scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2069.5,48.27064900698514,2056.0,16.0,0.011987715175097275
cross,ex_intvl_send_p99_stat,3401.0,192.88741678905743,3376.0,131.5,0.060001603702606626
cross,ex_intvl_send_max_stat,27739022.8,645273.4267209349,27670045.5,56534.0,0.003147309007048795
cross,ex_intvl_send_mean_stat,2184.99676905,82.49495074676453,2151.22522975,25.698188500000015,0.018401624785348174
cross,gw_intvl_decode_p50_stat,70.5,0.7071067811865476,70.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,113.7,3.560586718193756,113.0,1.5,0.02044807168141593
cross,gw_intvl_decode_max_stat,43232.0,103370.12954534894,9918.5,1880.0,0.2919788508342995
cross,gw_intvl_decode_mean_stat,72.7696211,1.6997423591216687,72.34745125,0.33905374999999793,0.007219129951730632
cross,gw_intvl_send_p50_stat,1975.4,38.592457524466845,1971.0,30.0,0.02344629223744292
cross,gw_intvl_send_p99_stat,3183.2,105.27931104131206,3177.0,74.0,0.03588013333333333
cross,gw_intvl_send_max_stat,28664433.8,642262.451352128,28592882.0,79983.0,0.004309027849525626
cross,gw_intvl_send_mean_stat,2061.1866193,50.82568704362876,2044.3189252500001,16.77239725000004,0.012638223583456605
cross,lob_intvl_decode_p50_stat,66.7,0.4830458915396479,67.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,114.8,1.6865480854231356,115.0,1.0,0.013394968695652173
cross,lob_intvl_decode_max_stat,143560.5,98841.05980057073,165241.5,67889.5,0.6328824092936701
cross,lob_intvl_decode_mean_stat,70.3659684,1.2241413272094184,70.12155899999999,0.4829842500000012,0.010610135957800823
cross,lob_intvl_apply_p50_stat,138.0,0.6666666666666666,138.0,0.0,0.0
cross,lob_intvl_apply_p99_stat,2383.4,32.43866006275023,2382.5,9.0,0.00581901053515215
cross,lob_intvl_apply_max_stat,29967696.9,657448.7538084792,29887896.0,59535.5,0.003068458156428943
cross,lob_intvl_apply_mean_stat,218.1903151,5.323177421934461,217.2770085,3.191061750000003,0.022623561702900814
cross,ex2gw_trans_p50_stat,1126.0,22.435091560618453,1130.5,13.0,0.01771382414860681
cross,ex2gw_trans_p99_stat,1779.5,94.86979381119039,1789.0,89.0,0.07663359675796533
cross,ex2gw_trans_max_stat,28667502.7,641940.6582969159,28594475.5,78481.5,0.004227899969842076
cross,ex2gw_trans_mean_stat,8708.94922565,1288.7891206056736,8518.241468,588.9971760000003,0.10651304707179109
cross,gw2lob_trans_p50_stat,1145.6,28.82591426708498,1143.0,25.5,0.03436635669291338
cross,gw2lob_trans_p99_stat,1982.3,104.61150351020994,1986.5,74.5,0.05777064903095897
cross,gw2lob_trans_max_stat,29969731.3,657798.776363858,29890364.0,60639.0,0.0031250744646201026
cross,gw2lob_trans_mean_stat,9361.9784944,806.0534216417589,9069.553603,302.58424625000043,0.05139252367086653
cross,w2w_p50_stat,6583.4,76.89704516790977,6606.0,65.5,0.015273630290644867
cross,w2w_p99_stat,11650.402000000002,431.29445009696883,11702.5,223.5,0.02941971227515488
cross,w2w_max_stat,29976790.1,657871.6661753432,29896693.5,60997.5,0.0031428844914404997
cross,w2w_mean_stat,22678.437013,1576.8953111650876,22318.5177,1014.8942700000007,0.07004788011729735
add,ex_intvl_send_p50_stat,2071.0,23.921166824012204,2066.5,12.5,0.009317816356157754
add,ex_intvl_send_p99_stat,3483.6,120.72392748194811,3453.0,87.5,0.0390347154648132
add,ex_intvl_send_max_stat,27608162.2,351150.23978975153,27583913.5,177443.5,0.0099093177873727
add,ex_intvl_send_mean_stat,2203.6869361,61.06496590416896,2179.829961,14.948393249999981,0.01056358765128264
add,gw_intvl_decode_p50_stat,70.8,1.4757295747452437,70.0,0.5,0.011003009999999999
add,gw_intvl_decode_p99_stat,114.8,2.394437999475729,114.5,2.5,0.033633655021834054
add,gw_intvl_decode_max_stat,16407.2,14281.125996689945,9771.5,1507.0,0.2375699790001535
add,gw_intvl_decode_mean_stat,73.06686004999999,1.802663958860369,72.14451324999999,0.7706142499999871,0.016454067376286997
add,gw_intvl_send_p50_stat,1984.2,27.65180323635734,1978.0,9.5,0.007398383872598583
add,gw_intvl_send_p99_stat,3244.0,93.42257638161013,3224.0,67.5,0.032251378566997516
