scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2672.9,64.4505839987333,2668.5,32.0,0.01847235705452501
cross,ex_intvl_send_p99_stat,5435.502000000002,606.4127509066938,5389.005000000005,395.49499999999534,0.1130503611692682
cross,ex_intvl_send_max_stat,30830331.2,19346276.01553756,24736313.5,512013.0,0.03188493638222203
cross,ex_intvl_send_mean_stat,2910.50141295,147.60328386460762,2884.3960695,90.30842024999993,0.048229514879836864
cross,gw_intvl_decode_p50_stat,73.5,6.654154925892376,71.0,1.0,0.021696076056338026
cross,gw_intvl_decode_p99_stat,124.2,9.402127418834526,123.5,6.5,0.08107481052631578
cross,gw_intvl_decode_max_stat,213212.6,507888.61002284085,48783.5,33082.0,1.0446200201871534
cross,gw_intvl_decode_mean_stat,80.2927,6.859718820636365,78.9693575,3.3883240000000043,0.0660945835824181
cross,gw_intvl_send_p50_stat,2584.2,92.54884596195076,2563.0,61.5,0.036962901326570416
cross,gw_intvl_send_p99_stat,5011.901000000001,721.0333743308187,5301.0,475.5,0.1381758867572156
cross,gw_intvl_send_max_stat,32799039.9,18618661.253808666,26994799.0,352300.5,0.02010354770304828
cross,gw_intvl_send_mean_stat,2814.8585501499997,181.01966675533913,2829.242169,138.49337624999998,0.07540470125579826
cross,lob_intvl_decode_p50_stat,69.7,0.9486832980505138,69.5,0.5,0.01108216834532374
cross,lob_intvl_decode_p99_stat,120.4,6.432556084308771,119.0,5.5,0.07119594705882352
cross,lob_intvl_decode_max_stat,161452.9,78136.04694015006,171832.5,18748.5,0.16807408736938587
cross,lob_intvl_decode_mean_stat,76.89732099999999,4.548765439298849,75.95251400000001,3.787084499999999,0.0768072799724351
cross,lob_intvl_apply_p50_stat,211.0,8.717797887081348,209.5,5.5,0.04044065727923628
cross,lob_intvl_apply_p99_stat,2576.101000000001,88.71836718891205,2565.5,35.0,0.021015298772169164
cross,lob_intvl_apply_max_stat,30069045.1,483371.2708089232,30034623.0,348056.0,0.01785116166759942
cross,lob_intvl_apply_mean_stat,304.58697575,20.460544996742733,300.19928300000004,15.213940500000035,0.07806773983709597
cross,ex2gw_trans_p50_stat,3516.6,152.8791825084254,3481.5,67.0,0.029644760534252475
cross,ex2gw_trans_p99_stat,811035.8450000004,666569.4668464317,537838.4200000004,349422.6200000001,1.0007802742914271
cross,ex2gw_trans_max_stat,32959001.1,18761615.21135081,26992071.0,351462.0,0.020057726807505803
cross,ex2gw_trans_mean_stat,38635.830554800006,23236.50265859409,28964.55452175,9647.719865,0.5130945179940987
cross,gw2lob_trans_p50_stat,3920.2,262.3736944808979,3829.0,75.0,0.030172787934186467
cross,gw2lob_trans_p99_stat,864003.3000000004,544608.8622232632,682394.56,449042.505,1.013657969681949
cross,gw2lob_trans_max_stat,35900341.5,18504120.28564393,30035116.5,385276.5,0.01975980900613786
cross,gw2lob_trans_mean_stat,45398.3045021,29722.766748487255,29135.5435095,7875.14282875,0.41636561670825056
