scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2050.1,18.35120341194731,2050.5,15.0,0.011268627651792245
cross,ex_intvl_send_p99_stat,3363.5,165.84681687227726,3330.5,111.0,0.051339671340639534
cross,ex_intvl_send_max_stat,28123980.9,204514.71473898075,28060172.5,85915.5,0.004716509664781997
cross,ex_intvl_send_mean_stat,2154.8093446,37.37592441366634,2156.11726775,16.12316349999992,0.011519070164962168
cross,gw_intvl_decode_p50_stat,71.4,5.501514942874069,70.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,109.7,6.880729935438859,108.0,5.0,0.07131580555555554
cross,gw_intvl_decode_max_stat,15765.3,13690.295208650541,9706.0,2212.5,0.3511418037811663
cross,gw_intvl_decode_mean_stat,73.09103585,5.696047165571612,71.2253405,0.8758490000000023,0.018942367046579485
cross,gw_intvl_send_p50_stat,1960.8,40.35068497284498,1947.5,27.0,0.021356291553273427
cross,gw_intvl_send_p99_stat,3097.5,186.04434955139058,3012.0,115.0,0.058814230079681264
cross,gw_intvl_send_max_stat,29287375.0,202198.77512377655,29232416.0,91395.0,0.004816119675260504
cross,gw_intvl_send_mean_stat,2041.2478618499997,59.08774560570287,2003.65824275,16.67707900000005,0.012821412770389319
cross,lob_intvl_decode_p50_stat,67.1,0.31622776601683794,67.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,110.4,3.5652645218989165,109.5,2.0,0.028135550684931503
cross,lob_intvl_decode_max_stat,610332.3,1479530.290173206,163510.5,103675.5,0.9767198978395881
cross,lob_intvl_decode_mean_stat,70.42653405,1.396152197362838,69.98512725,0.47746824999999404,0.010509408770426158
cross,lob_intvl_apply_p50_stat,135.0,1.4907119849998598,135.0,1.0,0.011410528888888887
cross,lob_intvl_apply_p99_stat,2507.702000000002,21.656952078564554,2511.5,7.505000000004657,0.004603170458692882
cross,lob_intvl_apply_max_stat,30848125.4,196079.15608481524,30790740.5,81037.5,0.00405420256789537
cross,lob_intvl_apply_mean_stat,216.05726919999998,7.087343293747524,213.9086775,2.2131787499999973,0.015937772830769078
cross,ex2gw_trans_p50_stat,1172.5,18.757220831811235,1166.5,14.5,0.01914797282468924
cross,ex2gw_trans_p99_stat,1782.0,150.67625338232077,1713.5,80.0,0.071919295010213
cross,ex2gw_trans_max_stat,29289888.7,203442.87991202835,29235373.5,92511.0,0.0048744348737463535
cross,ex2gw_trans_mean_stat,8440.920616200001,519.065272560569,8375.75713275,399.06897050000134,0.07339448511830664
cross,gw2lob_trans_p50_stat,1237.6,15.80576547409907,1240.0,5.0,0.006211376612903225
cross,gw2lob_trans_p99_stat,2022.8010000000008,103.04266866476148,1964.0,28.0,0.021961201221995925
cross,gw2lob_trans_max_stat,30847842.5,196216.87736688482,30790397.5,81213.5,0.004063052884227948
cross,gw2lob_trans_mean_stat,9652.867983,748.4041047050515,9415.4091075,251.22086450000006,0.04110134688614223
cross,w2w_p50_stat,6659.9,88.53178964517649,6631.5,64.0,0.014866466048405337
cross,w2w_p99_stat,11219.803000000004,915.6126553789027,10845.5,318.0,0.04516656725830989
cross,w2w_max_stat,30854810.3,196166.3190209607,30797434.0,81414.0,0.004072153149499403
cross,w2w_mean_stat,22649.42064475,1147.137182948653,22430.11230675,828.9464422500005,0.05692913266027175
add,ex_intvl_send_p50_stat,2037.2,16.301329189159187,2039.5,10.0,0.007552936504045108
add,ex_intvl_send_p99_stat,3368.9,153.34380399032176,3440.0,70.5,0.03156968276162791
add,ex_intvl_send_max_stat,28278481.6,273784.6891365549,28178601.5,146161.5,0.007990116275149424
add,ex_intvl_send_mean_stat,2145.70002895,36.25668979966927,2147.522863,34.62235450000003,0.024834667285302998
add,gw_intvl_decode_p50_stat,69.5,0.5270462766947299,69.5,0.5,0.01108216834532374
add,gw_intvl_decode_p99_stat,110.0,4.0,111.0,3.0,0.041633010810810805
add,gw_intvl_decode_max_stat,9936.3,5261.219251381862,7852.5,2312.0,0.453544002139446
add,gw_intvl_decode_mean_stat,71.1940911,0.6823883274716025,70.902343,0.36894400000000616,0.008015662232792637
add,gw_intvl_send_p50_stat,1954.3,24.819571130684576,1952.0,14.0,0.011048104303278688
add,gw_intvl_send_p99_stat,3102.601000000001,120.6492750312058,3099.0050000000047,89.0,0.044239200840269624
add,gw_intvl_send_max_stat,29449427.1,290439.6384817908,29354431.0,157798.0,0.008280706107953515
add,gw_intvl_send_mean_stat,2032.2934568,35.9734833801226,2020.9731877499999,15.732659750000039,0.011991710679150601
add,lob_intvl_decode_p50_stat,67.5,1.2692955176439846,67.0,0.0,0.0
add,lob_intvl_decode_p99_stat,110.5,3.4075080500434787,110.5,1.5,0.02091069773755656
add,lob_intvl_decode_max_stat,267739.9,292304.88277232804,182572.0,63616.0,0.5367495989658874
add,lob_intvl_decode_mean_stat,70.9200084,1.9448675272215248,69.9247645,0.5415889999999948,0.01193104176424637
add,lob_intvl_apply_p50_stat,165.3,2.2135943621178655,164.5,1.5,0.01404639574468085
add,lob_intvl_apply_p99_stat,2573.4,15.392638933377645,2572.0,8.0,0.004791357387247278
add,lob_intvl_apply_max_stat,31000238.6,306521.6990014102,30884814.0,188634.0,0.00940837300712253
add,lob_intvl_apply_mean_stat,251.0669144,7.528135981526248,249.248978,2.760058000000001,0.01705785292504269
add,ex2gw_trans_p50_stat,1164.3,13.630439790736354,1163.0,11.0,0.01456976388650043
add,ex2gw_trans_p99_stat,1760.5,90.70985490991471,1759.5,69.5,0.06084642642796249
add,ex2gw_trans_max_stat,29449610.1,290715.32169974956,29352882.5,156327.5,0.008203972008830818
add,ex2gw_trans_mean_stat,8325.968702950002,475.112800689033,8114.34713725,272.4712344999998,0.0517257289352873
add,gw2lob_trans_p50_stat,1231.4,13.50061726983869,1231.0,4.0,0.00500543103168156
add,gw2lob_trans_p99_stat,2020.802000000002,104.44491805093817,2000.0,52.00500000000466,0.04005480745350359
add,gw2lob_trans_max_stat,31000486.7,307759.77670003526,30884489.5,188336.0,0.009393608555206974
add,gw2lob_trans_mean_stat,9971.15520245,749.0049054531182,9718.42019775,490.0576704999994,0.07767675275525959
add,w2w_p50_stat,6652.0,52.86670870111822,6645.5,18.0,0.004172385102701076
add,w2w_p99_stat,11234.2,594.6012295835102,11176.0,388.5,0.05354811326950608
add,w2w_max_stat,31007771.7,308869.9565268529,30891024.5,188269.5,0.00938830522656508
add,w2w_mean_stat,22868.298405049998,1219.033253586105,22364.994149500002,719.625798750003,0.0495652703048608
cancel,ex_intvl_send_p50_stat,2044.7,15.916797556180843,2039.0,11.5,0.008688006915154487
cancel,ex_intvl_send_p99_stat,3331.1,163.58107062452754,3335.0,129.5,0.059815463658170906
cancel,ex_intvl_send_max_stat,28201144.2,171859.3141514949,28165093.5,83535.0,0.004568743989754552
cancel,ex_intvl_send_mean_stat,2144.5297827,37.233738843174606,2133.8782817499996,12.856386250000014,0.009280872613748263
cancel,gw_intvl_decode_p50_stat,70.2,2.097617696340303,70.0,0.5,0.011003009999999999
cancel,gw_intvl_decode_p99_stat,116.2,10.064238117656442,115.0,7.0,0.0937647808695652
cancel,gw_intvl_decode_max_stat,14272.1,13039.22688105225,9399.5,1321.0,0.2164898845044949
cancel,gw_intvl_decode_mean_stat,73.2324231,2.2703271539202823,72.4993285,0.6798562500000003,0.014445169880763106
