scenario,interval,mean,std,median,mad,cv
cross,ex_intvl_send_p50_stat,2567.0,49.88208317845419,2550.0,36.0,0.021747125647058822
cross,ex_intvl_send_p99_stat,4799.6,176.4509374679923,4771.0,55.0,0.01775794948648082
cross,ex_intvl_send_max_stat,27794426.0,1879743.9426291846,27154169.5,164703.5,0.009343419472096172
cross,ex_intvl_send_mean_stat,2622.0654621500003,74.28786317370162,2602.47742725,63.12278049999986,0.0373627378633789
cross,gw_intvl_decode_p50_stat,71.0,3.559026084010437,69.0,0.0,0.0
cross,gw_intvl_decode_p99_stat,111.8,5.223876806442596,112.0,3.0,0.0412612875
cross,gw_intvl_decode_max_stat,1726217.7,5405707.791074687,12004.5,4372.0,0.5610164822191678
cross,gw_intvl_decode_mean_stat,74.21334265,4.052725446255186,73.1096275,1.7821977500000017,0.03755094434220516
cross,gw_intvl_send_p50_stat,2504.4,36.22828851724697,2497.0,17.5,0.010795904885863034
cross,gw_intvl_send_p99_stat,4520.801000000001,356.94540884971326,4363.0,133.5,0.04713414093513637
cross,gw_intvl_send_max_stat,28297786.5,399112.07581225433,28256147.0,153005.5,0.008341298143646406
cross,gw_intvl_send_mean_stat,2471.06336285,53.24161334429435,2474.11541025,41.44671549999998,0.02580534733804529
cross,lob_intvl_decode_p50_stat,68.7,4.347413023856832,67.0,0.0,0.0
cross,lob_intvl_decode_p99_stat,109.8,2.2997584414213783,109.0,1.0,0.014132306422018346
cross,lob_intvl_decode_max_stat,116828.1,59081.873020881416,148011.5,6444.0,0.06706556924022794
cross,lob_intvl_decode_mean_stat,70.69376265,3.157781894067031,69.51750225,0.4347309999999993,0.009633098341697092
cross,lob_intvl_apply_p50_stat,191.2,1.0327955589886446,191.0,0.0,0.0
cross,lob_intvl_apply_p99_stat,2508.6,30.60573657194205,2510.0,17.5,0.010739989840637449
cross,lob_intvl_apply_max_stat,29962100.5,468476.0082544842,29886651.0,161882.0,0.008343741728532915
cross,lob_intvl_apply_mean_stat,259.0331717,2.2292077639749457,258.4501265,1.0612570000000119,0.006325332534514423
cross,ex2gw_trans_p50_stat,3011.7,47.01784531194276,3002.5,35.0,0.01795661915070774
cross,ex2gw_trans_p99_stat,54788.18700000008,50717.30233356497,37928.06500000006,30207.55500000005,1.2268583742323
cross,ex2gw_trans_max_stat,28869567.2,1790146.389901911,28258058.5,176747.5,0.009634973025358411
cross,ex2gw_trans_mean_stat,16026.412032749999,2308.867875366324,16824.685368500002,1921.0164719999975,0.17588292549955248
cross,gw2lob_trans_p50_stat,3438.6,16.853618141053406,3437.0,7.0,0.003137314460285132
cross,gw2lob_trans_p99_stat,75079.82600000012,35709.72631275854,81505.54500000004,27031.69500000018,0.5108879580680462
cross,gw2lob_trans_max_stat,29965855.2,469213.286352995,29888499.0,158277.5,0.008157453746288831
cross,gw2lob_trans_mean_stat,16837.5550784,1259.5163522111989,16980.2686435,1154.5297412500004,0.10473699549145553
cross,w2w_p50_stat,12209.5,46.63153439465616,12213.0,30.0,0.0037838894620486362
cross,w2w_p99_stat,341216.1520000003,142695.7604255319,355193.69000000064,89428.4300000004,0.38783759739764057
cross,w2w_max_stat,30358613.1,1323779.092521982,29896437.0,179188.5,0.009232732316359302
cross,w2w_mean_stat,38361.03621315,2832.6202427640574,38348.260345999995,2261.989654249999,0.09086245995377336
add,ex_intvl_send_p50_stat,2571.2,34.334304193393,2572.0,22.0,0.013176232814930015
add,ex_intvl_send_p99_stat,4886.1,209.26137298178614,4828.5,103.0,0.032859770984777874
add,ex_intvl_send_max_stat,27086751.4,275645.5507999761,27014400.5,204860.5,0.011681602862691695
add,ex_intvl_send_mean_stat,2652.5023864499994,59.28853666478055,2655.3586290000003,48.92924650000032,0.028384737779416372
add,gw_intvl_decode_p50_stat,70.1,2.131770260709264,69.0,0.5,0.011162473913043477
add,gw_intvl_decode_p99_stat,113.1,5.021066730398144,114.0,2.0,0.02702493684210526
add,gw_intvl_decode_max_stat,23522.7,15754.426990179267,20555.5,7183.0,0.5382913048186616
add,gw_intvl_decode_mean_stat,72.32037929999998,2.6049792975570965,71.687261,1.022900749999998,0.02198017030356407
add,gw_intvl_send_p50_stat,2505.9,30.138384532390294,2511.5,10.5,0.006440145212024686
add,gw_intvl_send_p99_stat,4723.2,391.6287357519449,4557.5,289.0,0.09768113759736696
add,gw_intvl_send_max_stat,28159868.1,309006.23750498774,28116993.5,270995.5,0.014846796031151053
add,gw_intvl_send_mean_stat,2479.5458724,52.392527217832644,2483.40519175,20.616272249999838,0.012787984444756243
add,lob_intvl_decode_p50_stat,68.1,3.4785054261852175,67.0,0.0,0.0
add,lob_intvl_decode_p99_stat,110.5,2.8382310609877335,111.5,2.5,0.03453859641255605
add,lob_intvl_decode_max_stat,92051.9,90913.27095821722,35360.5,15624.0,0.6806335870137582
add,lob_intvl_decode_mean_stat,70.66883355000002,3.4862114829883,69.73385975,0.8154664999999994,0.018013660108396612
add,lob_intvl_apply_p50_stat,220.6,2.3664319132398464,221.0,1.0,0.00697023257918552
add,lob_intvl_apply_p99_stat,2553.5,29.189990674125873,2555.5,17.5,0.010548767168851496
add,lob_intvl_apply_max_stat,29783950.3,313055.8980714857,29740694.5,265379.5,0.013745350194202761
add,lob_intvl_apply_mean_stat,294.8419209,3.1493771536056334,294.1498735,2.4678697500000055,0.012923885807187532
add,ex2gw_trans_p50_stat,3005.0,35.68379650952703,2997.5,31.0,0.0159309636030025
add,ex2gw_trans_p99_stat,39286.38800000008,30156.380314799055,31583.050000000047,21429.045000000042,1.0451732653927666
add,ex2gw_trans_max_stat,28162747.3,309634.9212117213,28122011.5,270252.5,0.0148034479824994
add,ex2gw_trans_mean_stat,15554.82906,2398.279466804784,15805.171534000001,1448.7668207499992,0.14120134093403647
add,gw2lob_trans_p50_stat,3432.6,34.03984593254074,3422.0,28.0,0.012604266277030976
add,gw2lob_trans_p99_stat,59153.39200000009,36603.93337127643,54270.53500000003,18106.52000000002,0.5139376438343203
add,gw2lob_trans_max_stat,29787664.4,314039.23551549343,29742685.5,267154.5,0.013836360166814794
add,gw2lob_trans_mean_stat,16194.270345249999,2141.518381498745,16658.9584755,1066.9404595000005,0.09865790341915748
add,w2w_p50_stat,12238.9,51.85331876231903,12235.0,33.5,0.004217745557825909
add,w2w_p99_stat,289831.2300000001,139017.18438772592,290745.7050000002,75629.13500000013,0.4006963336482962
add,w2w_max_stat,29797294.9,314267.08681857435,29752978.0,267561.0,0.013852619734582532
add,w2w_mean_stat,37318.97879785,4334.577357946776,37664.809299,1606.7452187499985,0.0657129231602373
